family,local_beats_global_rmse,target_coverage_cal,tau_global,tau_local_prob,test_baseline_fno_rmse,test_compute_norm_global,test_compute_norm_local,test_hybrid_rmse_global,test_hybrid_rmse_local,test_mean_defer_frac_global,test_mean_defer_frac_local
id,1,0.5,-6.316078186035156,0.4918307065963745,0.08227249361839888,1.0,2.079796295273682,0.025947983623947308,0.008222807629432003,0.4111111111111111,0.6894509618694453
parameter_shift,1,0.5,-6.316078186035156,0.4918307065963745,0.0857146722009054,1.0,2.0478386751136366,0.0346615766707628,0.007889797904096031,0.3786231884057971,0.6740262528645463
geometry_shift,1,0.5,-6.316078186035156,0.4918307065963745,0.0790593294464652,1.0,2.1686696461314745,0.025023283933504305,0.008210870743619246,0.3894230769230769,0.713445997129046
long_rollout,1,0.5,-6.316078186035156,0.4918307065963745,0.08227249361839888,1.0,2.079796295273682,0.025947983623947308,0.008222807629432003,0.4111111111111111,0.6894509618694453
id,1,0.65,-6.133881092071533,0.5193811655044556,0.08227249361839888,1.0,1.9191584601886111,0.03195605630049306,0.01103966637888905,0.35,0.5838440138644065
parameter_shift,1,0.65,-6.133881092071533,0.5193811655044556,0.0857146722009054,1.0,1.8700741957651505,0.039822947103355405,0.01104241052557672,0.3242753623188406,0.5518474394438186
geometry_shift,1,0.65,-6.133881092071533,0.5193811655044556,0.0790593294464652,1.0,2.02714355006223,0.030289376847331687,0.010577102676482238,0.33413461538461536,0.6243229401853632
long_rollout,1,0.65,-6.133881092071533,0.5193811655044556,0.08227249361839888,1.0,1.9191584601886111,0.03195605630049306,0.01103966637888905,0.35,0.5838440138644065
id,1,0.8,-5.954098701477051,0.5539709329605103,0.08227249361839888,1.0,1.339175404904048,0.036970999973026546,0.02408563835702853,0.3,0.21206466739411284
parameter_shift,1,0.8,-5.954098701477051,0.5539709329605103,0.0857146722009054,1.0,1.303438717716629,0.04349974882893128,0.02460026869646507,0.286231884057971,0.19125376657223497
geometry_shift,1,0.8,-5.954098701477051,0.5539709329605103,0.0790593294464652,1.0,1.3884109898605452,0.03335110818083091,0.023542967484546897,0.30288461538461536,0.23160839872000696
long_rollout,1,0.8,-5.954098701477051,0.5539709329605103,0.08227249361839888,1.0,1.339175404904048,0.036970999973026546,0.02408563835702853,0.3,0.21206466739411284
id,0,0.9,-5.785250663757324,0.5889712572097778,0.08227249361839888,1.0,1.0883802917722516,0.039901302992214685,0.05832044479981484,0.2722222222222222,0.051101311238758156
parameter_shift,0,0.9,-5.785250663757324,0.5889712572097778,0.0857146722009054,1.0,1.0808450298154253,0.045149618163083265,0.06333992604736088,0.26992753623188404,0.04807948377134576
geometry_shift,0,0.9,-5.785250663757324,0.5889712572097778,0.0790593294464652,1.0,1.0881894282273583,0.034816073068936075,0.056730943555912856,0.28846153846153844,0.049942054408244646
long_rollout,0,0.9,-5.785250663757324,0.5889712572097778,0.08227249361839888,1.0,1.0883802917722516,0.039901302992214685,0.05832044479981484,0.2722222222222222,0.051101311238758156
